out_median_uk,out_25_uk,out_75_uk,new_median_uk,new_25_uk,new_75_uk
20,18,21,14,11,17
30,27.75,33,9,7,11
37,33,40,15,13,20
49,42.5,53.25,16,12,20
60,53,65.25,21,18,25
73,65,81,24,20,28
91,77.75,100,32,28,38.25
113.5,96,126,38,30.75,45
136,116.75,154.75,46.5,40,58
169,144,198.25,59.5,49,68
211,177.5,241,73.5,58,84.25
258,225.75,296.75,88,71.75,106.25
320.5,271,369.75,109,93.75,131
395.5,333.75,449,135,110,157
482,409.5,554.5,162,131.25,186.5
587.5,501.25,676,199.5,162.5,229.5
712,597.75,815,236.5,190.5,272.25
865.5,721,987.5,277.5,222.5,327.75
1034,863.5,1200.25,332,278.75,382
1246,1025,1427.75,395,323.5,469.75
1479.5,1194,1705.75,468.5,387.75,531.5
1755,1418.75,2016.75,550,462,645.5
2074,1676.25,2386,649,516.75,743.25
2428,1960.25,2811.25,745.5,626.25,882.75
2828,2299.5,3294,867.5,709,1010.75
3283.5,2688.25,3818.25,992.5,822,1158.25
3783.5,3122,4369.75,1122.5,943,1325.5
4339.5,3599,5024,1272,1053.75,1515
4964,4109.5,5742,1451.5,1178.5,1692.75
5611.5,4644.5,6511.75,1635,1340.25,1885.5
6317,5236.75,7311.25,1817.5,1464.25,2142.75
7057.5,5856,8140,1992,1688.75,2336
7842.5,6528.75,9035.25,2195.5,1817.75,2563.25
8635.5,7213,9968.25,2370.5,1942,2754.75
9493.5,7870,10938.25,2556.5,2162.25,3025.25
10321.5,8553,11905.5,2794.5,2284.5,3200.5
11138,9253,12885.5,2931.5,2469.25,3400.75
11873.5,9926.75,13828.75,3128.5,2570,3693.25
12643,10571,14768.5,3203.5,2780.25,3778.25
13389.5,11169.25,15638,3476,2891.75,4016.5
14135,11777.75,16518.25,3613.5,3005.25,4207.5
14826.5,12380.25,17336.25,3743,3138.5,4433.5
15490.5,12941.75,18129,3879,3225.5,4538.25
16111.5,13452.5,18848.75,3983.5,3303.75,4740.25
16693.5,13923.75,19448,4102.5,3485.5,4788.5
17201,14416.25,20108.75,4205,3496.25,4896.25
17701,14817.5,20674,4310.5,3600.25,5038.5
18132.5,15161.5,21166.25,4360,3731.25,5189.5
18559,15546.75,21608.75,4449.5,3744.75,5278
18869.5,15855.5,22043.75,4577.5,3762.5,5254.75
19203.5,16110.5,22403,4575.5,3894,5389.5
19477,16360.25,22780.5,4616.5,3891.75,5415
19698.5,16486.75,23063.5,4679,3951.25,5446.25
19903,16640.5,23236.75,4687.5,3967.25,5531.25
20037.5,16802.5,23399,4732.5,3979.75,5591.75
20118,16829.25,23512.5,4680.5,3945,5543.75
20160.5,16861,23570,4692,4022.75,5582.25
20236.5,16782.25,23566.75,4694,3983,5469.75
20084.5,16756.75,23508.75,4652,3939,5549.25
19966,16699.75,23377.25,4650,3875.75,5458
19847,16611.75,23215.25,4591,3841.75,5359
19642.5,16435.5,22912.25,4537.5,3809.25,5290.75
19402.5,16218.75,22670,4429,3760,5241
19098.5,15978.25,22395.75,4321.5,3679.75,5115.5
18792,15704.5,22104.5,4287.5,3584,5045
18426,15433.5,21678.25,4143,3511,4979.25
18033.5,15173.5,21187.25,4117.5,3493.25,4840.75
17726,14847.25,20705,3992,3325.25,4640.25
17292.5,14491.25,20251.5,3884,3228.75,4631
16898,14133.25,19771.5,3834,3196.75,4445
16466.5,13794.25,19228.25,3682,3048,4325.5
16036,13416.25,18697,3583,3017.5,4149
15507,13028.5,18183,3480.5,2930.25,4090.75
15086.5,12603.25,17702,3396.5,2803.25,3948.25
14613,12231.25,17169.5,3302.5,2771,3804.25
14179.5,11859.25,16632,3190.5,2669.25,3732.75
13713,11469.75,16104.5,3057,2596.75,3583.75
13290.5,11062.75,15592,2975.5,2473,3427.25
12851,10720.5,15068.5,2833.5,2391,3349
12432.5,10360.75,14545,2750.5,2259.75,3195.5
11962.5,9993.25,14054.75,2674.5,2250.75,3098.5
11545,9614.75,13482.75,2554,2148.25,3022.25
11141,9250.75,12918.75,2433.5,2049.75,2881.25
10729.5,8921.75,12374,2341,1971,2715
