out_median_us,out_25_us,out_75_us,new_median_us,new_25_us,new_75_us
44,43,45,24,22,28
66,63,69,23,20,26.25
86,82,91,33,28.75,36.25
114.5,107,123,41,37.75,44
151.5,141,162,52,46,58
195,183.75,211,69,61,76
254.5,237.75,275,88,80,95
330,310,354.25,110,100.75,123
424.5,395.25,461.25,140,127,154
545.5,506,586,178,161,193.25
696.5,645,747,227.5,207.75,245
886,814.25,955.5,289.5,263.75,310
1131.5,1035.75,1210.75,364,338.5,396.5
1431.5,1321.75,1542.5,468.5,428.5,511
1826,1686.25,1979.5,580.5,542.75,637.75
2320.5,2143.75,2528.75,772,706.75,831.5
2981,2745.25,3209,982.5,904.5,1073.75
3802.5,3501,4142.5,1285,1178.5,1386.5
4893,4514,5275.25,1635,1494.75,1766
6273.5,5751.25,6774.5,2092.5,1907.25,2242.5
7987.5,7332.25,8642.25,2625.5,2405,2863.25
10135.5,9299,11020.75,3253.5,2975,3526.5
12741,11705.5,13814.25,4031.5,3657,4325.5
15871,14585.5,17179,4826.5,4363.75,5256.25
19545,17918.25,21151.25,5713.5,5245.5,6210.75
23731.5,21712,25686.75,6720,6160.75,7264
28426,26015,30782.25,7744,7105.25,8378.25
33592.5,30721.5,36346.5,8934,8197.25,9669.5
39263,35915,42409.25,10173,9290.25,11006.5
45326,41474,49112.25,11509,10503,12436.25
51857.5,47465.5,56204.5,12850,11762.25,13891.5
58587,53751,63580.5,14154.5,13044.25,15362.5
65527.5,60210.25,71106.5,15523.5,14226.75,16738
72601,66733.75,78852.75,16731.5,15441.5,18260.5
79624,73140.5,86488.75,18072,16572.75,19574.75
86291,79175.25,93749.75,19176.5,17607.5,20790
92693,85024.5,100669.5,20166.5,18524.25,21949
98611,90424.25,107132.75,21131.5,19359.25,23068.75
103945,95258,112982.25,21897,20116.25,23780.25
108629.5,99666,118049,22477.5,20629.75,24381.5
112806,103376.75,122489.5,22993.5,21111.25,25022
116441,106641.5,126424.5,23475.5,21401,25418.75
119467,109407.5,129672.5,23713,21874,25932.5
121835,111799.5,132195,24163.5,22102.25,26196.5
123737,113418.25,134162.75,24087.5,22204,26221.5
125208.5,114817.25,135728.5,24193.5,22380.75,26338.75
126298.5,115778.75,136946.5,24323,22287,26240.5
127336.5,116751,138049.75,24335,22401.75,26478.5
128219,117518,138984.5,24430,22357.5,26622.25
128948,118181.5,139837.75,24661.5,22536.75,26563
129449.5,118728.5,140508.25,24626.5,22623.25,26629
129930.5,119137.75,140961.5,24767.5,22696.5,26802.5
130298,119474,141213.5,24740.5,22693.25,26918
130441.5,119638.75,141412.5,24728,22695.75,26785.75
130650.5,119720.25,141538,24702.5,22773,26731.75
130561,119642.25,141437,24674,22567.75,26836.25
130429,119530.25,141358.25,24616,22663.75,26711.5
130164,119342.25,141019.25,24629.5,22530.75,26672
129925.5,118941.25,140771,24509.5,22353.25,26460
129505,118556.75,140243.25,24397.5,22371,26496
129036.5,118118.5,139833.5,24188,22171.5,26348.75
128346.5,117570.25,139298.75,24080.5,22060,26084
127724.5,116996,138538.5,24084.5,22014.5,26041.5
126950.5,116239.25,137668.25,23870,21877.5,25663.75
125930.5,115312.5,136548,23647.5,21657,25706.25
124819.5,114300.75,135332.5,23415,21433.75,25279
123626.5,113288,133926,23077,21127.75,25078
122291,111984.25,132405.75,22804.5,20936.5,24730
120963.5,110569,130905.75,22505.5,20617.25,24378.25
